iter	Passed	Remaining
447	1115	1374
448	1117	1371
449	1119	1368
450	1121	1365
451	1123	1362
452	1125	1358
453	1127	1356
454	1130	1354
455	1132	1351
456	1134	1348
457	1136	1345
458	1138	1342
459	1140	1339
460	1145	1338
461	1147	1335
462	1149	1332
463	1151	1329
464	1153	1326
465	1154	1323
466	1156	1320
467	1159	1317
468	1161	1315
469	1163	1312
470	1165	1309
471	1167	1305
472	1169	1302
473	1171	1299
474	1174	1297
475	1176	1295
476	1178	1292
477	1180	1289
478	1182	1286
479	1184	1283
480	1186	1280
481	1189	1278
482	1191	1275
483	1193	1272
484	1195	1269
485	1197	1266
486	1199	1263
487	1201	1260
488	1204	1258
489	1206	1255
490	1208	1252
491	1210	1249
492	1212	1246
493	1214	1244
494	1216	1241
495	1219	1238
496	1221	1236
497	1223	1233
498	1225	1230
499	1227	1227
500	1229	1224
501	1231	1221
502	1234	1219
503	1236	1217
504	1238	1214
505	1240	1211
506	1242	1208
507	1244	1205
508	1247	1203
509	1250	1201
510	1252	1198
511	1254	1195
512	1256	1192
513	1258	1189
514	1260	1186
515	1262	1183
516	1264	1181
517	1268	1179
518	1270	1177
519	1271	1174
520	1273	1170
521	1275	1168
522	1277	1165
523	1280	1163
524	1282	1160
525	1284	1157
526	1286	1154
527	1288	1151
528	1290	1148
529	1292	1146
530	1295	1144
531	1297	1141
532	1299	1138
533	1301	1135
534	1303	1133
535	1305	1130
536	1307	1127
537	1310	1125
538	1313	1123
539	1315	1120
540	1317	1118
541	1319	1115
542	1322	1112
543	1327	1112
544	1330	1110
545	1332	1107
546	1334	1105
547	1336	1102
548	1340	1101
549	1342	1098
550	1344	1095
551	1347	1093
552	1349	1090
553	1351	1088
554	1354	1085
555	1357	1083
556	1359	1081
557	1361	1078
558	1362	1075
559	1364	1072
560	1366	1069
561	1372	1069
562	1376	1068
563	1379	1066
564	1381	1063
565	1383	1060
566	1385	1058
567	1388	1055
568	1390	1053
569	1392	1050
570	1394	1047
571	1396	1044
572	1397	1041
573	1400	1039
574	1403	1037
575	1405	1034
576	1407	1031
577	1409	1029
578	1411	1026
579	1413	1023
580	1416	1021
581	1418	1018
582	1420	1016
583	1422	1013
584	1424	1010
585	1426	1007
586	1428	1004
587	1431	1002
588	1433	1000
589	1435	997
590	1437	994
591	1439	991
592	1440	988
593	1442	986
594	1445	983
595	1448	981
596	1450	978
597	1452	976
598	1453	973
599	1455	970
600	1457	967
601	1460	965
602	1464	963
603	1466	961
604	1468	958
605	1470	955
606	1471	952
607	1473	950
608	1476	947
609	1478	945
610	1480	942
611	1482	940
612	1484	937
613	1486	934
614	1488	931
615	1491	929
616	1494	927
617	1496	924
618	1498	922
619	1500	919
620	1502	916
621	1504	914
622	1507	912
623	1509	909
624	1511	906
625	1513	903
626	1514	901
627	1516	898
628	1518	895
629	1521	893
630	1523	890
631	1525	888
632	1527	885
633	1529	882
634	1530	879
635	1532	877
636	1535	875
637	1538	872
638	1540	870
639	1542	867
640	1544	864
641	1545	862
642	1547	859
643	1550	857
644	1553	855
645	1555	852
646	1557	849
647	1559	847
648	1561	844
649	1563	842
650	1567	840
651	1569	837
652	1571	835
653	1573	832
654	1575	829
655	1577	827
656	1580	825
657	1584	823
658	1586	820
659	1588	818
660	1590	815
661	1593	813
662	1596	811
663	1599	809
664	1601	806
665	1603	804
666	1605	801
667	1607	799
668	1610	797
669	1613	794
670	1615	792
671	1617	789
672	1619	786
673	1622	784
674	1624	781
675	1626	779
676	1629	777
677	1631	775
678	1634	772
679	1636	770
680	1638	767
681	1641	765
682	1644	763
683	1646	760
684	1649	758
685	1651	755
686	1653	753
687	1656	751
688	1658	748
689	1660	746
690	1662	743
691	1665	741
692	1667	738
693	1669	736
694	1671	733
695	1674	731
696	1676	728
697	1678	726
698	1680	723
699	1682	721
700	1684	718
701	1687	716
702	1689	713
703	1691	711
704	1693	708
705	1695	705
706	1697	703
707	1699	700
708	1702	698
709	1704	696
710	1706	693
711	1707	690
712	1709	688
713	1711	685
714	1713	683
715	1716	680
716	1718	678
717	1720	675
718	1722	673
719	1725	670
720	1726	668
721	1728	665
722	1731	663
723	1734	661
724	1737	658
725	1739	656
726	1741	653
727	1742	651
728	1745	648
729	1748	646
730	1750	644
731	1752	641
732	1754	639
733	1756	636
734	1758	633
735	1760	631
736	1763	629
737	1765	626
738	1767	624
739	1769	621
740	1770	618
741	1772	616
742	1774	613
743	1777	611
744	1779	609
745	1781	606
746	1783	604
747	1785	601
748	1787	598
749	1789	596
750	1792	594
751	1795	591
752	1797	589
753	1798	586
754	1800	584
755	1802	581
